what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455007864182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455007866722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455007867871
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1455007868084
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455007869522
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455007869727
error,log,,,"Failed Executing: [nios2-download, '--cable=DE-SoC on localhost [USB-1]', --device=2, --instance=0, --go, /cygdrive/c/altera/14.0/quartus/qdesigns/lights_and_switches_comp/software/lights_and_switches_comp/lights_and_switches_comp.elf] return code: 4, 'other error'",1455007880185
error,log,,,"Downloading ELF Process failed",1455007880190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455007880202
error,log,,,"Unhandled event loop exception",1455007880279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455007883589
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455007885230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455007890776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455007891688
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1455007891870
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455007893034
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455007893242
error,log,,,"Failed Executing: [nios2-download, '--cable=DE-SoC on localhost [USB-1]', --device=2, --instance=0, --go, /cygdrive/c/altera/14.0/quartus/qdesigns/lights_and_switches_comp/software/lights_and_switches_comp/lights_and_switches_comp.elf] return code: 4, 'other error'",1455007903528
error,log,,,"Downloading ELF Process failed",1455007903533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455007903546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455007910883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455007939171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455008025837
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1455008030185
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455008031281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455008034470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455008035379
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1455008035573
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455008036874
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455008037041
error,log,,,"Failed Executing: [nios2-download, '--cable=DE-SoC on localhost [USB-1]', --device=2, --instance=0, /cygdrive/c/altera/14.0/quartus/qdesigns/lights_and_switches_comp/software/lights_and_switches_comp/lights_and_switches_comp.elf] return code: 8",1455008038641
error,log,,,"Downloading ELF Process failed",1455008038650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455008038672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009600022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009601576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009603209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009604669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009618099
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455009629176
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1455009632212
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455009633580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009640172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009640806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009645983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009646882
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1455009647085
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455009648311
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455009648505
error,log,,,"Failed Executing: [nios2-download, '--cable=DE-SoC on localhost [USB-1]', --device=2, --instance=0, --go, /cygdrive/c/altera/14.0/quartus/qdesigns/lights_and_switches_comp/software/lights_and_switches_comp/lights_and_switches_comp.elf] return code: 4, 'other error'",1455009658705
error,log,,,"Downloading ELF Process failed",1455009658716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009658734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009659968
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455009662834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009665552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009666483
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1455009666672
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455009667704
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455009667888
error,log,,,"Failed Executing: [nios2-download, '--cable=DE-SoC on localhost [USB-1]', --device=2, --instance=0, /cygdrive/c/altera/14.0/quartus/qdesigns/lights_and_switches_comp/software/lights_and_switches_comp/lights_and_switches_comp.elf] return code: 4, 'other error'",1455009674505
error,log,,,"Downloading ELF Process failed",1455009674514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009674538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009676296
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455009678364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009683055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009683924
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1455009684134
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455009685330
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455009685537
error,log,,,"Failed Executing: [nios2-download, '--cable=DE-SoC on localhost [USB-1]', --device=2, --instance=0, /cygdrive/c/altera/14.0/quartus/qdesigns/lights_and_switches_comp/software/lights_and_switches_comp/lights_and_switches_comp.elf] return code: 4, 'other error'",1455009692210
error,log,,,"Downloading ELF Process failed",1455009692219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009692239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009697742
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455009699104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009701976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009702893
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1455009703073
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455009704281
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455009704464
error,log,,,"Failed Executing: [nios2-download, '--cable=DE-SoC on localhost [USB-1]', --device=2, --instance=0, /cygdrive/c/altera/14.0/quartus/qdesigns/lights_and_switches_comp/software/lights_and_switches_comp/lights_and_switches_comp.elf] return code: 4, 'other error'",1455009711032
error,log,,,"Downloading ELF Process failed",1455009711041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009711068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009779059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009780137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009835059
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455009879300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009889341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009890257
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1455009890441
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1455009891632
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455009891922
error,log,,,"Failed Executing: [nios2-download, '--cable=DE-SoC on localhost [USB-1]', --device=2, --instance=0, --go, /cygdrive/c/altera/14.0/quartus/qdesigns/lights_and_switches_comp/software/lights_and_switches_comp/lights_and_switches_comp.elf] return code: 4, 'other error'",1455009902630
error,log,,,"Downloading ELF Process failed",1455009902640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455009902663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455010225093
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1455010231118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455010243916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455010244989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455010247082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455010464942
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455010471127
